Ref,Val,Package,PosX,PosY,Rot,Side
"D1","BAV70","SOT-23",-116.944000,-71.654000,90.000000,bottom
"D2","BAV70","SOT-23",-112.884000,-71.704000,90.000000,bottom
"J1","Button Board","molex_5051101492_14P",-85.300000,-78.050000,0.000000,bottom
"J2","bumpers","molex_5051100592_5P",-124.818900,-50.800000,0.000000,bottom
"Ref**","Val**","ABXY_Contact_Omron_Switch",166.054000,-55.074000,-90.000000,top
"Ref**","Val**","ABXY_Contact_Omron_Switch",166.054000,-34.304000,45.000000,top
"Ref**","Val**","ABXY_Contact_Omron_Switch",154.134000,-44.684000,0.000000,top
"Ref**","Val**","ABXY_Contact_Omron_Switch",178.024000,-44.694000,135.000000,top
"SW3"," TL3315NF100Q","TL3315NFxxxQ",142.384860,-31.160720,0.000000,top
"SW4"," TL3315NF100Q","TL3315NFxxxQ",112.234000,-42.804000,0.000000,top
"SW5"," TL3315NF100Q","TL3315NFxxxQ",104.504000,-31.124000,0.000000,top
"SW6"," TL3315NF100Q","TL3315NFxxxQ",134.494000,-41.994000,0.000000,top
